call option price0,stockprice0
2.69642,100.129
2.81626,100.561
2.39002,99.5175
2.55249,100.094
1.80514,97.942
1.93888,98.5238
2.2845,99.713
3.58047,103.03
4.93258,105.752
5.49472,106.804
5.21305,106.422
4.2786,104.853
4.89426,106.063
5.03976,106.407
4.47185,105.514
6.25097,108.507
6.13419,108.416
6.41526,108.914
5.44964,107.542
4.96957,106.867
5.24723,107.409
6.053,108.721
5.3945,107.827
6.10318,108.965
7.47263,110.905
7.43544,110.929
6.99955,110.435
7.24185,110.825
8.40559,112.338
7.49286,111.287
6.95563,110.683
5.63286,109.014
6.45797,110.202
5.09824,108.458
5.55425,109.186
6.4665,110.454
5.56909,109.392
5.68131,109.629
5.31686,109.25
4.78599,108.648
5.25201,109.36
8.39859,113.071
8.80086,113.546
7.66588,112.38
6.49092,111.153
6.43929,111.16
3.51785,107.798
3.71655,108.188
4.26045,108.957
4.59658,109.425
2.68778,107.346
2.74745,107.579
1.85967,106.734
3.32864,108.329
call option price6,stockprice6
4.39168,100
4.26947,99.7926
3.5558,98.0904
4.80434,101.168
5.14296,101.97
4.49859,100.644
4.42376,100.554
4.90187,101.69
5.3839,102.768
4.37646,100.69
4.61955,101.316
5.50671,103.24
6.00363,104.27
5.23298,102.846
5.24413,102.946
5.21329,102.962
4.69623,101.969
5.20275,103.098
8.03789,108.162
8.52985,108.988
6.88792,106.418
8.18355,108.581
8.61899,109.308
8.05705,108.513
7.22858,107.262
5.97378,105.184
5.37718,104.155
4.54633,102.577
3.44536,100.163
3.70342,100.883
3.57859,100.681
4.60967,103.056
3.73708,101.247
4.31978,102.63
3.67584,101.297
3.84614,101.783
5.32947,104.883
4.65597,103.68
4.27446,102.994
3.5447,101.486
3.6621,101.856
4.40673,103.545
4.40206,103.628
4.6995,104.306
5.16871,105.272
6.10814,106.978
5.42655,105.904
4.54432,104.378
3.67848,102.71
4.31037,104.115
5.26007,105.963
5.72401,106.838
5.83074,107.098
4.74986,105.331
5.42795,106.605
3.84656,103.8
3.8101,103.833
4.10104,104.515
4.64431,105.624
6.36448,108.513
5.52894,107.305
4.57907,105.806
3.82694,104.523
3.36384,103.707
3.92499,104.933
3.71219,104.64
2.84908,102.969
3.66511,104.782
5.85338,108.516
7.132,110.384
7.70951,111.21
8.27013,111.982
9.22616,113.198
8.01467,111.798
9.9642,114.16
9.39896,113.565
8.32985,112.372
8.10331,112.165
7.86012,111.939
9.52982,113.921
10.3369,114.855
12.3576,117.037
10.7732,115.404
7.45379,111.787
5.7001,109.743
3.41859,106.659
2.40788,105.069
2.55822,105.524
1.96352,104.576
1.28279,103.239
1.2827,103.502
1.87806,105.055
2.08972,105.664
1.67387,105.148
3.20031,107.673
2.81928,107.342
2.35848,106.926
4.81639,109.779
5.471,110.46
6.94396,111.944
call option price7,stockprice7
4.39168,100
5.34771,102.171
5.0405,101.601
4.51367,100.519
5.26044,102.215
3.80784,98.9963
3.9907,99.533
3.99443,99.6259
5.43731,102.876
4.93623,101.92
5.11301,102.368
4.94887,102.103
4.87111,102.019
4.67557,101.68
4.07894,100.421
5.06552,102.662
3.33338,98.7435
2.94107,97.7575
3.0843,98.2568
4.52884,101.858
5.09316,103.117
4.49695,101.958
4.38004,101.789
4.48771,102.108
4.98919,103.233
5.49918,104.307
5.36821,104.138
5.94478,105.284
6.67615,106.629
7.23359,107.616
6.41481,106.334
7.99884,108.945
6.67177,106.914
5.60599,105.144
5.39173,104.832
3.69742,101.444
2.84029,99.4043
2.99697,99.9291
3.2271,100.62
2.62038,99.1225
2.33503,98.3992
3.0862,100.585
3.6844,102.108
4.0095,102.915
4.60811,104.221
4.42338,103.953
5.28339,105.652
5.53062,106.171
5.72456,106.585
4.61012,104.693
3.20582,101.859
3.32302,102.241
3.2606,102.21
2.57051,100.63
1.61336,97.8224
1.29795,96.7404
2.64765,101.204
3.61332,103.538
3.08236,102.497
3.65198,103.84
3.24895,103.106
3.47147,103.696
3.71656,104.306
4.41987,105.729
3.81886,104.731
3.30301,103.822
2.68014,102.581
2.93223,103.285
4.20132,105.877
3.22135,104.153
4.86984,107.203
4.29386,106.367
2.88718,103.859
2.38939,102.898
2.29872,102.837
1.63145,101.244
2.05534,102.567
2.91222,104.614
2.51614,103.952
1.53602,101.714
2.41536,104.058
1.71923,102.608
1.54471,102.34
0.705238,99.6274
0.98121,101.028
1.29411,102.287
0.726789,100.564
0.419568,99.2877
0.164882,97.4257
0.0231153,94.3093
0.0260127,95.0914
0.0103434,94.4304
0.0103621,95.166
0.0102305,95.9388
0.0116905,96.9437
0.000802416,95.4717
0.00114765,97.0552
0.000368868,97.9224
1.66311e-05,98.913
0,96.8978
call option price8,stockprice8
4.39168,100
4.31314,99.8957
4.84681,101.183
5.12536,101.857
3.77822,98.8369
4.25543,100.083
4.62768,101.013
5.14062,102.194
5.231,102.457
5.06191,102.184
6.64106,105.293
5.60866,103.44
5.22757,102.757
3.98758,100.119
4.01191,100.263
4.42014,101.285
4.02732,100.472
3.99934,100.493
4.33824,101.355
4.41975,101.62
4.71322,102.335
4.48655,101.935
5.92698,104.871
7.6289,107.84
8.60522,109.412
9.27587,110.456
11.0962,113.024
9.92241,111.486
8.78929,109.931
9.36692,110.823
11.5862,113.869
12.0743,114.542
10.8162,112.969
11.3595,113.729
11.3624,113.784
11.1791,113.6
10.3912,112.624
9.99389,112.151
11.7389,114.463
11.0352,113.623
11.7807,114.614
12.711,115.8
11.2867,114.097
12.4786,115.611
12.6931,115.915
13.405,116.801
13.5165,116.974
13.1084,116.54
10.7128,113.689
13.3106,116.861
11.3791,114.615
9.11966,111.81
9.04996,111.779
6.38898,108.067
7.00102,109.067
8.11659,110.719
7.84933,110.42
6.05283,107.872
4.47033,105.31
3.54322,103.616
4.34785,105.289
4.7291,106.068
5.91338,108.082
5.89203,108.136
5.75397,108.013
4.66078,106.352
4.88522,106.827
6.04878,108.715
6.33941,109.217
6.37216,109.346
8.96884,112.774
10.487,114.607
11.6989,116.009
13.162,117.63
12.1204,116.547
11.6048,116.027
9.64049,113.894
8.29376,112.391
7.54462,111.559
7.06015,111.038
4.80614,108.144
4.79803,108.239
2.93336,105.393
3.77118,106.945
2.51291,104.923
5.01131,108.949
4.19032,107.942
3.3314,106.809
3.51735,107.233
3.4618,107.294
3.42182,107.38
3.30717,107.365
5.22773,109.881
3.33426,107.699
5.37158,110.193
7.21082,112.151
6.13254,111.084
3.39103,108.293
4.51755,109.506
2.79718,107.797
call option price9,stockprice9
4.39168,100
4.04375,99.2492
5.09199,101.711
5.39968,102.426
5.11973,101.921
5.56885,102.916
5.67962,103.209
6.31964,104.5
7.72729,107.021
5.65959,103.391
6.74977,105.485
8.3052,108.144
9.04755,109.35
8.50601,108.581
7.52069,107.069
9.14871,109.679
7.71504,107.518
6.73407,105.944
6.48884,105.586
7.091,106.691
8.07667,108.351
7.6902,107.806
7.83326,108.098
11.1073,112.882
10.5579,112.194
8.66745,109.566
8.61641,109.553
6.8884,106.912
8.3915,109.343
8.53746,109.623
9.13381,110.551
9.87099,111.643
8.18342,109.289
7.31678,108.027
6.75499,107.197
6.23968,106.414
6.37646,106.721
5.41714,105.127
5.53256,105.419
8.00461,109.484
6.73442,107.608
6.829,107.833
6.60127,107.545
6.11762,106.834
6.39145,107.361
6.90924,108.255
5.55007,106.119
6.28407,107.424
7.11401,108.789
7.05243,108.771
5.78497,106.854
5.22383,105.989
4.64028,105.034
4.35046,104.587
4.325,104.638
4.50237,105.07
4.68182,105.495
5.56091,107.09
7.02567,109.405
5.04743,106.42
4.86098,106.198
5.35634,107.118
6.55495,109.036
5.72815,107.885
4.20789,105.455
3.77704,104.765
3.60564,104.55
4.43741,106.179
2.57473,102.607
2.55914,102.711
2.55996,102.855
3.11506,104.196
2.63219,103.306
3.21681,104.662
4.05147,106.297
4.02326,106.367
4.97198,107.971
5.80265,109.248
5.72157,109.228
7.84719,111.989
8.21677,112.484
7.84544,112.115
9.54095,114.077
8.41714,112.885
7.00695,111.333
6.62712,110.958
5.26138,109.372
6.07228,110.454
6.50154,111.029
5.12456,109.489
4.08396,108.283
6.00725,110.682
7.02245,111.842
5.74754,110.533
4.38296,109.097
5.68534,110.584
9.82848,114.796
9.51473,114.494
10.3561,115.346
12.1919,117.192
call option price10,stockprice10
4.39168,100
4.42312,100.152
4.27263,99.8805
4.65742,100.843
4.32754,100.171
4.11625,99.7532
4.10758,99.8151
4.10193,99.8846
3.82,99.2819
3.87144,99.4947
3.53559,98.7324
4.03178,100.053
4.22687,100.596
4.82485,102
4.94453,102.332
5.46706,103.466
5.83945,104.257
6.88548,106.205
7.43582,107.195
5.52321,103.883
4.01446,100.791
3.61985,99.9366
3.84743,100.578
3.59164,100.052
3.09583,98.8685
2.90641,98.4461
2.82134,98.3066
2.82962,98.4322
3.29655,99.7879
3.31326,99.9285
2.16367,96.7054
2.49013,97.858
2.12189,96.7914
2.10425,96.8466
1.50394,94.6989
1.63666,95.3723
1.59742,95.3397
1.39055,94.5906
1.93644,96.8614
2.11911,97.5998
2.55035,99.0356
2.75056,99.7071
3.04802,100.596
3.15645,100.974
2.99121,100.671
2.82867,100.365
3.11058,101.188
2.83569,100.611
2.23447,99.0605
2.94534,101.118
2.61638,100.387
3.86296,103.414
4.22931,104.253
4.90304,105.606
5.17222,106.17
5.64583,107.053
7.64161,110.131
5.77023,107.427
5.46993,107.03
3.29412,103.087
3.12137,102.825
4.17462,105.074
5.14403,106.865
4.21957,105.369
3.35933,103.818
3.71791,104.651
4.17795,105.617
4.55913,106.386
3.22389,104.031
4.52707,106.542
5.61109,108.338
4.44406,106.617
3.24519,104.586
2.17776,102.386
2.35648,102.974
1.93274,102.084
0.753804,98.1285
0.786786,98.5237
1.14597,100.247
0.77462,98.9377
0.566759,98.0884
0.183991,95.0365
0.241461,96.1013
0.234653,96.3613
0.26915,97.0685
0.354828,98.1534
0.295007,98.0113
0.230806,97.7795
0.164348,97.4187
0.199976,98.277
0.0413653,95.8274
0.0135696,94.796
0.00444805,94.1447
0.000212031,92.0606
1.52511e-06,89.7579
4.80557e-08,89.5103
1.4369e-07,91.993
1.73508e-10,92.03
1.3642e-18,92.1924
0,90.1972
call option price11,stockprice11
4.39168,100
4.79073,100.983
5.09451,101.716
4.4711,100.422
3.96423,99.3014
3.23609,97.4822
2.34248,94.8096
2.77777,96.323
2.81701,96.5365
2.79745,96.5711
3.18084,97.7785
3.20142,97.927
2.98201,97.4
3.35975,98.5387
3.71703,99.5471
4.26287,100.931
4.67692,101.928
5.48687,103.659
5.54315,103.845
4.48218,101.757
5.68475,104.268
6.44862,105.731
7.26215,107.18
7.78494,108.088
9.46172,110.664
8.86992,109.866
9.92317,111.431
9.62091,111.065
8.86061,110.036
9.40335,110.875
8.1245,109.07
8.89931,110.276
6.65025,106.878
5.85077,105.583
6.9382,107.495
7.6151,108.629
8.66519,110.25
8.20663,109.649
7.14167,108.106
7.52396,108.766
6.73588,107.61
6.50199,107.309
6.91339,108.039
6.63688,107.678
7.43195,108.978
9.16487,111.504
9.42689,111.916
9.86785,112.555
10.0369,112.83
9.33527,111.974
8.05983,110.303
7.59225,109.708
9.77868,112.726
9.77971,112.785
9.36232,112.308
8.21697,110.855
7.89988,110.49
6.60721,108.716
6.98856,109.352
7.12924,109.628
6.01576,108.067
4.02365,104.791
3.88901,104.643
3.63066,104.25
4.20038,105.441
2.92818,103.016
2.55668,102.287
2.0672,101.172
2.709,102.919
1.89959,101.011
1.89623,101.161
1.1184,98.7312
0.703407,96.9606
0.5967,96.5439
0.557389,96.5227
0.316648,94.822
0.314025,95.0681
0.418166,96.271
0.409074,96.4687
0.627584,98.1792
0.611029,98.3443
0.635031,98.7389
1.14349,101.119
1.36214,102.033
1.22729,101.852
2.22261,104.522
